web-scraper-order,web-scraper-start-url,nama,komentar
"1583432296-15077","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Dengan adanya gojek mw kemana"" gak perlu ribet.tinggal pesan diaplikasinya ."
"1583432296-14628","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Trimakasih gojek gofood.. Aq sanggat suka dengan adanya aplikasi ini.."
"1583432296-13494","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Aplikasinya bagus... Bisa dipercaya. Aman. Dan nyaman"
"1583432296-12470","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Oke mantap Sangat membantu Tingkatkan Pelayanan yang Lebih Baik"
"1583432296-9330","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","bar yanto",""
"1583432296-12012","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Terima kasih Gojek, aplikasi ini berguna dan bermanfaat bagi seseorang yang ingin pergi ke suatu lokasi dan tinggal pencet saja di aplikasi ini... Dan terima kasih Gojek karena memberi promo cashback untuk pembelian item item Game menggunakan saldo Gopay... Terima Kasih Gojek"
"1583432296-8959","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Agus Yusuf",""
"1583432296-13352","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Bagus..sangat memudahkan penggunanya..👍👍"
"1583432296-9350","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","ANDRIK 86",""
"1583432296-12863","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Selalu bantu kebutuhan trapotasi kebutuhan keluarga saya 😃😃😃"
"1583432296-10707","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Ayu Zaini",""
"1583432296-8692","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Ismail channel",""
"1583432296-10557","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Fitriani Mardiana",""
"1583432296-9283","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Niken Setiawati",""
"1583432296-8816","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","maharani sulastri",""
"1583432296-10293","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Kuryana Driver",""
"1583432296-10122","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Suparno Suparno",""
"1583432296-14165","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","aplikasi yang sangat membantu dalam kehidupan sehari hari dalam bidang transportasi dll :)maju terus PT.Aplikasi Karya Anak Bangsa"
"1583432296-9192","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Misno Miszhou",""
"1583432296-11782","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Bagus sekali kalou yg baru download Dan langsung top up bakal ada chasback 50% mantul dah...........buraun download bisa top up game apa ajah dan selalu dapaet chasback kalo top up terus kalian top Up bakal berkurang dikitkan bisa mesen goofud sisanya mantul....."
"1583432296-9557","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Yossi Theodorus",""
"1583432296-15004","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Aplikasi yang sangat membantu... maju terus gojek"
"1583432296-9804","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Subhan yudistira",""
"1583432296-13833","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Ya bermanfaat banyaklah untuk manusia yang menggunakan jasa dari aplikasi gojek ini."
"1583432296-9049","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Master Dead",""
"1583432296-9059","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Raden Nurhayati",""
"1583432296-13154","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Trima kasih.. Aplikasi ini sangat membantu saya untuk transaksi.."
"1583432296-12775","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Tolong di perbaiki gan biar bisa edit sendiri yg punya byk cabang.klo melalui email ribet gan mending klo cpet prosesnya lama.yg pnya byk cabang kalah saing promo sma yg single resto diskon tolong bisa kita atur sendiri.sudah harganya ga bisa atur sndri diskonnya gobis yg atur ya habis harganya sama...Ulasan Lengkap"
"1583432296-9763","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Muhammad Romi",""
"1583432296-11993","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Saya Pengen minum kelapa muda, trus saya order lewat Gofood, Yg ambil orderan driver wanita, tp tidak kalah dengan driver pria, sama cekatan walaupun lg hujan, orderan datang tepat waktu. Trimakasih Mbak Heliala Syafwati telah ngantar orderan saya td."
"1583432296-12654","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Saya kasih bintang 5 kenapa? aplikasinya bagus Yang jelek itu Sudah 3 bulanan daftar goride sampe bang Toyib pulang belum juga dapat panggilan 😂😂"
"1583432296-14567","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Kenderaan lain ga mau melayani tapi go car setia melayani penumpang yang membutuhkan"
"1583432296-14170","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Sudah cukup baik, saya tunggu inovasi selanjutnya (⌒_⌒;)"
"1583432296-13323","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Sangat membantu sy dan.kluarga sy dari segala keperluan, driver nya ramah2&sopan, beda ama yg onoh"
"1583432296-14288","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Cepat tepat di manapun tempat."
"1583432296-8896","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","pakpahan tupani",""
"1583432296-10246","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","De Juli",""
"1583432296-15049","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Aplikasi jasa terbaik..👍🏻"
"1583432296-14941","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Suka banget sama aplikasi ini♡ Apalagi gofoodnya ngga pernah ngecewain:*"
"1583432296-12095","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Aplikasinya gojek sangat bagus dan mudah di pahami dan banyak cash back nya... terimakasih gojek"
"1583432296-9573","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Ragil Saiful",""
"1583432296-10512","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Mohammad Gozani",""
"1583432296-11676","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Abdul Gofur",""
"1583432296-9861","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Ani Aniseptianingsih",""
"1583432296-12156","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Aplikasi yang sangat membantu turut bangga karya anak indonesia.... Maju terus"
"1583432296-11394","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","septiaraudah jannah",""
"1583432296-13987","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Sangat enak paket nasi ayam bakar geprek. Dan nasi tutuq oncom. Kurirnya jg ramah baik"
"1583432296-12386","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Asalnya pake grab tp lama2 malah makin mahal dan update terus akhirnya instal gojek dan aku lebih cocok pake gojek karna selalu dpt up to date dan diskon voucher promo gofood bikin selera makan tambah enyaaaaak🤗🙏sukses selalu ya buat drivernya ramah2 dan baik hati"
"1583432296-12513","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Gojek... Salah satu alternatif terbaik transportasi online.Gojek...YESS"
"1583432296-11950","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Gojek sangat memudah kan kita dlm bepergian dan sangat membantu bagi pekerja lain nya..baik dalam keadaan santai maupun tergegas dlm urusan pribadi..trimakasih gojek.."
"1583432296-9175","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","fika khaerunisa",""
"1583432296-10876","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Sukisno Sukisno",""
"1583432296-13203","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Ayyo dong di balikin sistem nya masa driver yang Deket aja ada saya order dpat nya yang di mana kalo saya ngampus butuh waktu coet gmna"
"1583432296-12834","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Gojek ini sangat membantuuu😘jangan lupa di download ya;) insyaallah gak akan nyesel!!!!"
"1583432296-8655","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Aloysius Yoseph",""
"1583432296-9055","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Yanto Trisyulianto",""
"1583432296-8656","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Rahmawati Enung",""
"1583432296-9488","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","ardian arian",""
"1583432296-13786","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","SemogA para driver mendapatkan pekerjaan yg lebih baik n penghasilan yg lbh baik jg, amiinnn"
"1583432296-13006","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","aplikasi ini sangat membantu saya untuk memudahkan semua pekerjaan saya. terima kasih gojek."
"1583432296-8765","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Saryono Yono",""
