web-scraper-order,web-scraper-start-url,nama,komentar
"1583431904-6741","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Aplikasi jelek ini klo order dikasih driver yg jauh dari custemer padhal yg deket bnyak. Kadang2 titik penjemputan/titik tujuan gk sesuai dengan map. Tujuan dimana titik nya dimna"
"1583431904-3990","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","andre hermawan",""
"1583431904-2949","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","El Hiedayat",""
"1583431904-6151","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Saya narik seharian zonk gk ada order.. Alahasil.hari ini jam ini detik ini saya pulang... Bensin udh abiis 100rb buat keliking cari order.. Di tambah setoran mobil blm lunas. .. Tapi order kusut.......!!"
"1583431904-2411","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Deni Amri",""
"1583431904-2004","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Muhazir Muhammad",""
"1583431904-4151","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Aymemey Memey",""
"1583431904-5196","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Kalah sama grab, saya baru pesan gofood, saya banding kan sama grab ternyata lebih murah pesen grab. Coba para customer liat harga di grab lebih banyak promo.., maaf ya saya beralih ke grab"
"1583431904-4427","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","mendengar keluhan para driver miris juga ya,, kalo bisa gojek lebih profesional lagi lah,, cari mana driver yg bener"" rajin mana yg sampingan mana yg cuman main""... lah ini malah di samain antara yg full sama sampingan,, kasihan yg fulk buat biaya angsuran motor,, apalagi kalo sewa rumah belum resik...Ulasan Lengkap"
"1583431904-1127","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Carissa Callia",""
"1583431904-2501","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","koko ramadani15",""
"1583431904-2860","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Pengguna Google",""
"1583431904-6608","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Aplikasi ribet ngabisin quota doank... Bukanya memudahkan customer..."
"1583431904-5104","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Gojek!!!!! kenapa saya order malah layarnya selalu putih mulu!!!!! bingung saya sama gojek sekarang saya sabar karna gojek lelet masih saya maafkan,sekarang mau order ini layar orderan gojek berubah putih!! tolong perbaiki,kalo begini terus nggak ada guna aplikasi ini"
