komentar,tfidf_positif,tfidf_negatif,sentimen
"Paling kesal sama driver yg pas hujan2 gak mau ambil orderan!! Udah harga naik seharusnya bersyukur lah ada yg order, ini mah diliatin doang dan gak diambil!! Padahal dia duduk disebelah cuma ngeliatin orderan trus hanya pilih yg dekat doang!!",1142.3243541647,1345.2792150094,negatif
Tolong donk untuk mendaftar akun gojek pakai KTP. Dan nomor KK jadi tidak sembarangan bisa buat akun gojek. Untuk anak sekolah pakai Nomor induk siswa. Pasti akan mikir untuk buat order fiktif. Dan harus sinkron dengan nomor hp... Mudah-mudahan order fiktif tidak ada lagi percayalah,584.0942629741,889.7240214425,negatif
hai gojek . baru baru ini map saya untuk go.ride kenapa rute perjalanan dekat kok jadi muter2 jadi jauh sekali ???tolong perbaikan dan tindakan nya ya ??? sangat merugikan waktu,573.4729934993,638.3742820895,negatif
layanan gosend shopie busuk. Layanan bandara Soetta parah. Datang membawa kode pesanan. Bukan langsung di tanganin. Petugas gocar cuma bilang urutan masih 17. Tapi nama GK di catat. GK di tanya tujuan. Mereka belaga sibuk TLP tlpn. Setelah 10 menit. Tanya lagi nama saya ada GK . Baru bilang catat du...Ulasan Lengkaplayanan gosend shopie busuk. Layanan bandara Soetta parah. Datang membawa kode pesanan. Bukan langsung di tanganin. Petugas gocar cuma bilang urutan masih 17. Tapi nama GK di catat. GK di tanya tujuan. Mereka belaga sibuk TLP tlpn. Setelah 10 menit. Tanya lagi nama saya ada GK . Baru bilang catat dulu. Urutan nya yang sebelum nya 17. Jadi 24,1788.8699326611,2417.5358345093,negatif
Orderan gofood sekarang driver terdekat...???yang pakai tuyul member dan mod makin gacor kasihan yang main murni dan jujur #gojek anda waras??? Sekalian aja semua pakai tuyul lagi sudah 1 minggu driver terdekat sudah gak ada driver prioritas lagi ya..??? Secara tidak langsung anda menyuruh kami seba...Ulasan LengkapOrderan gofood sekarang driver terdekat...???yang pakai tuyul member dan mod makin gacor kasihan yang main murni dan jujur #gojek anda waras??? Sekalian aja semua pakai tuyul lagi sudah 1 minggu driver terdekat sudah gak ada driver prioritas lagi ya..??? Secara tidak langsung anda menyuruh kami sebagai driver masuk member..#kan tolol #,8098.3163504498,6904.0436573444,negatif
"Saya sudah isi gopay untuk beli pulsa dan tiba tiba gopulsa terblokir, sudah hubungi cs tidak bisa berbuat apa apa, padahal saya sebelumnya bisa dan tidak berbuat apa apa hanya beli pulsa seperti biasa tp kenapa tiba tiba terblokir, pelayanan sungguh buruk, tidak bisa di andalkan, saya sangat kecewa...Ulasan LengkapSaya sudah isi gopay untuk beli pulsa dan tiba tiba gopulsa terblokir, sudah hubungi cs tidak bisa berbuat apa apa, padahal saya sebelumnya bisa dan tidak berbuat apa apa hanya beli pulsa seperti biasa tp kenapa tiba tiba terblokir, pelayanan sungguh buruk, tidak bisa di andalkan, saya sangat kecewa, ini nomor tiket keluhan saya 20327674, dan cs yg melayani adalah Erinda Agustin, tolong jadi perhatian biar tidak ada lagi costumer lain yg di rugikan, karena saya sudah rugi waktu dan materi.",7653.5336567414,11176.3479726213,negatif
"Sebulan sudah 3x diupgrade tapi aplikasi ga jelas, biasanya setiap seminggu sekali dapat voucher tapi minggu ini ga dapat. pesan gojek bayar cash biasanya dapat poin tapi kali ini ga dapat, jangan maunya diupgrade terus tapi aplikasi merugikan customer. percuma komplain ga pernah ada tanggapan...",922.6218918703,1026.4459076886,negatif
"bagaimana ini.. hapal akan bermasalah, tdk akan saya update. saya menggunakan gojek sdh lama. setelah update, malah tdk bisa memesan gojek/gosend/apapun. ketika mengklik sub menu, dan seharusnya muncul posisi saya berada, malah tdk dapat ditunjukkan dgn alasan gojek is having a trouble with google p...Ulasan Lengkapbagaimana ini.. hapal akan bermasalah, tdk akan saya update. saya menggunakan gojek sdh lama. setelah update, malah tdk bisa memesan gojek/gosend/apapun. ketika mengklik sub menu, dan seharusnya muncul posisi saya berada, malah tdk dapat ditunjukkan dgn alasan gojek is having a trouble with google play service. please try again. pdhl sblm update, saya sdh melakukan trip sblmnya. tolong direspon..",6517.5342269552,5179.7057478657,negatif
"Gopay saya pernah raib diambil no yg menelfon mengatasnamakan gojek, menelfon katay saya dpt hadiah sekian juta tp minta saya ke atm, tp karna saya gak ke atm stelah itu gopay saya tahu2 hilang saldonya, bagaimana dg ini?",575.2876334514,614.2137568753,negatif
"Signal bagus,tpi tulisannya akses di tolak terus saat lihat voucher,saat cek out makanan gofood dan lokasi tidak bisa di setting di saat mau pilih lokasi untuk gofood.. Sungguh membuat tidak nyaman aplikasi gojek skrang..",838.6613989794,789.2798402775,negatif
Saya minta agar lebih di perbaiki lagi masak saya mau set lokasi tujuan nya kok nggak bisa di temukan ..padahal kan tempat yg saya tuju itu real benar2 ada ..tapi kok pas mau order go ride nyari tempat yang saya tuju kok nggak ada.,1455.1726759461,1685.9282601263,negatif
Aplikasi ini knp ya kok skrg susah bgt katanya suruh pake pin buat amanin akun tapi gk ada sms buat verifikasi padahal jaringan penuh di tlpn katanya suruh di restart tapi sama aja apa emg udh gk mau di pake?,837.7432581447,1164.073227972,negatif
"Woii...gojek knpa gw gk bisa pakai gopay gw,server sibu segala...gara2 itu gw gk bisa pakai gopay gw. Bikin rugi gw aja lu tau kyk gni mending gk ush di adakan gopay,mending bayar cash aja..gak jelas",697.5568412016,801.7183542511,negatif
"Assalamualaikum Minnn, kode voucher yg 30k, untuk voucher dipilih 20k, kenapa kok minimal pembelian 50k, kok udah naik?. Saran saya secepatnya turunin lagi min minimal pembeliannya, min.25k itu udh enak kok min atau 20k. Terimakasih",753.7479852752,828.7740920859,negatif
"Ayolah, masa ada update aplikasi bukannya tambah bagus kok malah tambah rusak, pengen pesan gofood mentok di mancari driver padahal sudah dicoba diberbagai waktu dan jaringan, server gopay betulin",388.0121465125,478.8303471525,negatif
"Sumpah ini jelek banget aplikasi. Gua paham soal hasil karya anak negeri, tp driver gojek yang gua temuin pada darah tinggi. Ngomongnya ngegas dan ga tau sopan santun. Mohon dikasih tau untuk drivernya.",900.8531323455,1038.0346732109,negatif
Langganan udh lama .. Tiba2 ga bisa dipake ga bisa cari alamat .. Ga bisa go pulsa .. Setiap prmbayaran gagal muat terus .. Saldo gopay juga pajangan doang jadinya .. Ampe kapan ini udh hampir sebulan ga biza dipake .. Uninstal aja lah,955.5621344004,1140.2137275169,negatif
