komentar,sentimen
- SAYA SENANG PAKAI GOJEK KARYA ANAK BANGSA - DAN ADA YA PAYLATER SANGAT MEBANTU SEKALI - BELI SEKARAN BAYA YA NANTI . . . . . DI TANGGAL ( 1 ) - DI TAHUN 2019 GOJEK SANGAT MEMBANTU DENGAN ADA YA PAYLATER . . . . TANKS !!! - DAN DI TAHUN 2020 PAYLATER SAYA DI HILANG KAN APA SALAH SAYA ???..........A...Ulasan Lengkap,positif
.kemana mana gampang dan pesan makanan mudah dan cepat..,positif
"""TERBAIK..."" ""JANGAN PERNAH PINDAH,KELAIN HATI...""",positif
"""TOP"" fitur banyak semakin mempermudah kebutuhan sehari-hari...mantap",positif
👍👍👍 Sangat membantu dalam segala situasi,positif
"👍mantabs betul,namun apabila dari konsumen yang tega kasihan bintang satu namun situasi nya bertolak belakang kasih ke driver donk dah makanan dikirimkan malah dibilang tidak nyampe tolong hargai para driver dah bela - bela nunggu makanan nya makan waktu pula ongkos di kasih disc sama gojek mau apa...Ulasan Lengkap",positif
"👩‍🎤sekarang tanggal mudah, apapun bisah basah termasuk akuh🧟DARAH MERDEKAH MEREKAH, akuh tidak menyerah🧟tapi kalo sempat duduk di bangkuh trotoar akuh selalu ketiduran🧟begitulah nasibkuh kawan👩‍🎤lupah yah bayar tagihan sebelum duduk💖gojek?👩‍🎤malas turun ajah, turunnya kaya turun motor🧟sor...Ulasan Lengkap",positif
"0k...selama ini saya puas...dengan fasilitas yg ada di gojek..baik itu goride,gocar,gofood,dan paylatter..😍🙏🙏🙏",positif
"1 kekurangannya GOJEK,, HARUSNYA PESAN GOSEN (PAKET) HARUS BERBAYAR LEWAT GOPAY ANTARA PENJUAL DENGAN PEMBELI,KARNA KENDALA BANYAK, KTIKA DRIVER TIDAK CUKUP DANANYA",positif
10/02/2020 Sya pake gocar kirim masker 1 dus tapi sampe tujuan barang hilang 12 box.supir nya kurang tanggung jwb.,positif
5 dulu nanti kalau jelek jadi 1,positif
"95%driver gojek itu baik dan sopan,sekedar masukan aja buat perusahaan online termasuk gojek untuk lbh bijaksana terhadap driver dan konsumen sebagian wilayah msh ada zona merah apalagi dgn atribut lengkap dan tentu saja driver tidal berani masuk karna saya sendiri pernah pas naik gojek masuk daerah...Ulasan Lengkap",positif
Ada apa dengan gojek .. sehari gag dpt order dan sekalinya ada order hanya 3 .. #adaapadengangojek,positif
"Ada aplikasi gojek mempermudah perjalanan kemanapun bisa terkondisikan, pokoknya mempermudah segala urusan",positif
Ada driver yang tidak sesuai dengan harga pada aplikasi,positif
Ada kalanya Masih sering muncul kalimat sayangnya gojek sudah berhenti padahal sudah melakukan update,positif
Ada Kepuasan bersamamu.... Gojek. Kita sukses bersama membangun Bangsa,positif
"Ada pengemudi trampil, ada yg raba2. Tali tetap asiik..",positif
Ada tetapi nya loh ... Knapa poin berlakunya dibatasi waktu ... Sedih sy ... poin yg sdh sy kumpulkan lama (sdh lebih dari 10000 poin) ... Hangus begitu saja ..... Wk wk wk ...... 😢😢😢,positif
Ada trouble dg go food tgl 21-02-2020 jam 21.00wib dengan driver reza armyd...ku dpt kata fiktif dan tidak bertanggung jawab,positif
"Ada yg nlfn aku, katan ya dari pihak gojek, Dia bilang mau ngasih hadiah senilai 2 jt RP,benaran apa gak sih,,,?",positif
Adain kuis dong trus yang menang dapat voucer,positif
Adanya gojek sangat membantu banget buat ibu2 yang sibuk bekerja.Makasih banyak yah gojek,positif
Adanya gojek sangat membantu untuk kepentingan yg mendadak dan sangat bisa di percaya draivernya juga sangat ramah terima kasih gojek 🙏🙏🙏,positif
Adanya gojek saya sangat terbantu sehari hari...tp perbagusi apk'y biar gk error terus,positif
"adanya ojol di Indonesia cukup bagus untuk membantu masyarakat mendapatkan transportasi/hal lainya yg menyangkut ojol lebih cepat,aman dan hemat..",positif
Adil sekarang masuk gojek indonesia Kita dari pagi sampai malem dapat muter gak dapet tapi yang duduk sambil titik dapet banyak #hapustuyul,positif
"Admin Gojek, Aplikasi sudah bagus dan ada difilter juga buat pilihan order, hanya kasi masukkan untuk pilihan order tampilkan jg yg semua, krn orang yg baru paham/ awam gk ngerti klo pilihan ordernya da byk, mereka taunya yg terlihat aja",positif
"Admin tlg jaga. Aplikasi anak bangsa ini,,, kontribusinya sangat besar utk bangsa ini,,, suwun agus gresik",positif
Admin tolong bantuan aplikasi saya tidak bisa pesan apapun dan gopay saya banyak tidak bisa di pakai ada apa dengan akun saya.saya lapor lewat email tidak ada yang respon,positif
Admin tolong perbaiki kok JCO udah tidak ada lagi di Go Food,positif
"Agar sistem pemerataan yang baru ini jadi lebih baikk, seharusnya PT. GI harus menurunkan point untuk tupo misalnya 20 point atau 15 point untuk mengurangi konflik yang terjadi. Sekian terimakasih",positif
"Akhir ini saya dapat driver jauh2, penjemputan jadi lama. Waktu saya banyak terbuang",positif
"Akhirnya ketolong juga mau pergi""an. Ga usah repot"" minjem aplikasi tetangga. Sekarang bisa kmna aja deh",positif
Aklhamdulillah sangat membantu..👍,positif
"Aktifin dong paylater sya , masak hmpir setiap hari saya transaksi pakek gopay gak aktif2",positif
Aktivitas berjalan cepat dan tepat,positif
"Aku ada saran kalau bisa kalau cod an sama driver tambahin fitur selain chat, yaitu fitur kamera jadi lebih pasti tahu si driver dmna titik pasti si order, selebihnya gak ada kekurangan thanks..",positif
Aku baca yang kasih bintang 1 ga sedikit konsumen minta voucher atau gratisan berasa baca komenan orang kismin tapi pengen hidup enak wkwk .. Pengen nya dianter tapi cuma bayar serebu duarebu .. Wkwk .. Apakah ini yang dinamakan ngemis online? 😂🤣,positif
"Aku benci kamu, Go Food. Kau tak tampan tetapi kau begitu menggoda ku,,, menjadi candu",positif
Aku bisa saat pulang sekolah ortu ku belum Jemput aku bisa menggunakan aplikasi ini yaitu Gojek Maksihh ya... Gojek kamu itu Is The Best,positif
Aku cinta... Aku bangga... Buatan Indonesia... Karya Anak Bangsa...,positif
"Aku kan pendatang di jogja,jd untuk menkondisikan wakt dan tempat yg dituju pake gojek aja",positif
Aku kasih 5 deh karna kmna pun pergi gk susah skrang smangat pd smua pengguna gojek sehar allu yah,positif
Aku ksh bintang 5 karna suamiku driver gojek... Moga gk terllu banyak driver biar orderanya merata... Pa g kasian driver lma jd susah orderan kalo kebanyakan driver baru.,positif
Aku puas sama pelayanannya soalnya driver nya ramah banget i love u ❤️❤️❤️,positif
"Aku seneng banget pakai aplikasi Gojek, karena AksesNya Cepat, Tpi DriverNya Banyak yg galak(Suka Marah"")",positif
"Aku suka ada gojek,ke mana2 bs mandiri saat suami sibuk",positif
Aku suka banget sama apk gojek karena gak perlu repot repot lagi beli makanan dan minuman jauh jauh.,positif
"Aku suka banget sama apk ini, pelayanan nya ramah,cepat dan mudah,, Terimakasih gojek🙏❤",positif
"Aku suka bgt sama gojek karena karya anak bangsa bisa sebagus ini. Aplikasi nya bagus, animasi nya bagus, lebih smooth, dan hemat ram, promonya jg banyak dan gak perlu repot masukin kode promonya",positif
"Aku suka dengan Go-jek,, tapi tolong Pelayanan dan pengantaran agar pengemudi selalu ramah 👍",positif
Aku suka kali aplikasi gojek ni lahhh...,positif
"Aku suka sama aplikasi ni, kemana-mana jadi makin gampang....",positif
"Aku suka sejauh ini,sangat membantu dan buat bayar apa aja nge gampangin👍🏻",positif
"Aku suka sih pake gojek, tp skrg pada mlm tahun baruan smua😭😭😭 nyari driver hampir 2 jam ga dpt""",positif
Aku suka sistem gojek sekarang adil & kalau bisa orderannya jangan nunggu 1jam lagi kelamaan.sukses gojek,positif
Aku tadi jam 7 malem topup gopay melalui transfer BCA virtual account. Aku kira langsung masuk ke gopay akun gojek ternyata blm masuk. Tolong semoga besok senin atau minggu sudah masuk saldo gopaynya. Soalnya itu uang tersisa dari atm. Terimakasih🙏🙏🙏,positif
"Aku tau kamu,kamu tau aku..saling membutuhkan..",positif
Aku terbantu banget sama gojek...sejauh ini semuanya oke banget. Terima kasih gojek,positif
Aku tersipu malu d kirim kilas balik dr gojek 😊😂 #eaa Terimakasih go jek sdh membantu dlm mempermudah utk melakukan semua yg ku mau ! #kejoG2019 Ttp mantull !👍,positif
Aku tf bca ko ga bisa2 ya katanya blm terdaftar itu knpa yaaa,positif
